ProductName,Seller,UsageType,Region,CostUSD
GCP Cloud Infrastructure Services Terraform on Ubuntu 18.04 LTS,Cloud Infrastructure Services,BC8E-4704-2B23:CloudInfrastructureServices,us-east1,37.027224243358226
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 Benchmark - Level 1,CIS (Center for Internet Security),9568-5E4D-E61A:CIS(CenterforInternetSecurity),asia-southeast1,29.756875000000008
GCP Compute Engine,Canonical,E803-054E-3FDF:Canonical,northamerica-northeast1,27.56574999999999
GCP Cloud Infrastructure Services Mail Proxy Server using NGINX on Ubuntu,Cloud Infrastructure Services,813B-0852-1093:CloudInfrastructureServices,europe-west3,26.65944488169475
GCP Compute Engine,Canonical,3CCE-91C7-ABF9:Canonical,us-central1,25.810094
GCP Cloud Infrastructure Services GitLab Server (CE) Community Edition on Ubuntu Server 20.04,Cloud Infrastructure Services,47B7-FC90-E881:CloudInfrastructureServices,europe-west1,22.319682000000004
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,asia-south1,18.378390999999997
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2016 Benchmark - Level 2,CIS (Center for Internet Security),F78F-D4B0-B782:CIS(CenterforInternetSecurity),us-central1,14.879579000000001
GCP CIS (Center for Internet Security) CIS Ubuntu Linux 20.04 LTS STIG Benchmark,CIS (Center for Internet Security),75D1-5A16-BB0C:CIS(CenterforInternetSecurity),us-east4,14.879579000000001
GCP CIS (Center for Internet Security) CIS CentOS Linux 7 Benchmark v2.2.1 Level 1,Center for Internet Security,9579-D315-1B22:CenterforInternetSecurity,us-central1,14.879579
GCP CIS (Center for Internet Security) CIS Debian Linux 10 Benchmark - Level 1,CIS (Center for Internet Security),B8F6-14B8-E9C3:CIS(CenterforInternetSecurity),us-east4,14.879579
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2012 R2 Benchmark - Level 2,CIS Center for Internet Security,F804-438C-881C:CISCenterforInternetSecurity,us-central1,14.879578999999998
GCP CIS (Center for Internet Security) CIS Debian Linux 10 Benchmark - Level 1,CIS (Center for Internet Security),B8F6-14B8-E9C3:CIS(CenterforInternetSecurity),us-central1,14.874622999999998
GCP Compute Engine,Canonical,E803-054E-3FDF:Canonical,australia-southeast1,14.484562999999998
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,europe-west3,12.722319999999998
GCP Compute Engine,Canonical,3A97-0B24-C6A3:Canonical,us-central1,12.339022999999996
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,northamerica-northeast2,12.014980000000001
GCP Compute Engine,Canonical,69F1-E4DD-0213:Canonical,us-west1,11.181298000000002
GCP Techlatest.net Ansible AWX (Opensource alternative to Ansible Tower),Techlatest.net,C402-FA58-40F1:Techlatestnet,europe-west4,9.673045
GCP Compute Engine,Canonical,69F1-E4DD-0213:Canonical,us-east4,8.857108000000002
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,E56A-940F-3700:41748,us-central1,8.464837
GCP Compute Engine,Canonical,E803-054E-3FDF:Canonical,us-west1,8.423652999999998
GCP Compute Engine,Canonical,E803-054E-3FDF:Canonical,europe-west2,8.248187999999997
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,asia-northeast1,8.146114
GCP Compute Engine,Canonical,681A-CE73-4E13:Canonical,asia-east1,7.417203000000002
GCP Compute Engine,Canonical,4C14-20CD-4C5D:Canonical,us-west1,7.4172030000000015
GCP Compute Engine,Canonical,48A8-08F0-0B4A:Canonical,us-east4,7.409341
GCP Compute Engine,Canonical,DC45-E5BB-8CDD:Canonical,us-central1,7.227530999999999
GCP Compute Engine,Canonical,BCF2-FB67-327C:Canonical,europe-west2,6.6467932812049515
GCP Compute Engine,Canonical,39FC-D2F3-6981:Canonical,us-east4,6.213000999999999
GCP Compute Engine,Canonical,AE9F-122E-5B38:Canonical,northamerica-northeast1,6.147669000000001
"GCP F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 25Mbps)",F5 Networks,C319-1364-89D4:F5Networks,us-east4,5.667007
GCP Compute Engine,Canonical,5245-3320-9740:Canonical,us-central1,5.457590000000001
GCP CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 Benchmark - Level 1,CIS (Center for Internet Security),9568-5E4D-E61A:CIS(CenterforInternetSecurity),us-central1,4.968318999999999
GCP Compute Engine,Canonical,F367-1125-F0DA:Canonical,europe-west2,4.6259950000000005
GCP Compute Engine,Canonical,BCF2-FB67-327C:Canonical,us-east4,4.419892000000001
GCP Compute Engine,Canonical,5245-3320-9740:Canonical,us-west1,4.155921000000001
GCP Compute Engine,Canonical,DC45-E5BB-8CDD:Canonical,australia-southeast1,4.1250029999999995
GCP Compute Engine,Canonical,E803-054E-3FDF:Canonical,europe-west3,4.121536999999999
GCP Techlatest.net ethereum-fullnode,Techlatest.net,5168-F128-53D0:Techlatestnet,europe-west4,3.8352829999999996
GCP Compute Engine,Canonical,39C0-FE5F-B504:Canonical,us-central1,3.7851169999999996
GCP Compute Engine,Canonical,AE9F-122E-5B38:Canonical,us-west1,3.705917000000001
GCP Compute Engine,Canonical,F367-1125-F0DA:Canonical,us-west1,3.7040620000000004
GCP Compute Engine,Canonical,8561-E0AA-AA8E:Canonical,asia-east1,3.0231389999999987
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,51EF-10DE-2429:Fortigcpproject001,asia-northeast1,2.9260999999999995
GCP Compute Engine,Canonical,68F2-13D3-1384:Canonical,europe-west2,2.561617
GCP Compute Engine,Canonical,F367-1125-F0DA:Canonical,europe-west1,2.469472
GCP Compute Engine,Canonical,AE9F-122E-5B38:Canonical,europe-west2,2.468676000000001
GCP Compute Engine,Canonical,AE9F-122E-5B38:Canonical,australia-southeast1,2.3392840000000006
"GCP F5 Networks F5 BIG-IP Virtual Edition - GOOD  (PAYG, 25Mbps)",F5 Networks,C319-1364-89D4:F5Networks,us-west1,2.3137550000000005
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,51EF-10DE-2429:Fortigcpproject001,asia-south2,2.2640000000000002
GCP Techlatest.net Bitcoin Full Node,Techlatest.net,C30B-60D9-6200:Techlatestnet,europe-west4,2.235049
GCP Compute Engine,Canonical,BCF2-FB67-327C:Canonical,us-west1,2.2101010000000003
GCP Compute Engine,Canonical,BCF2-FB67-327C:Canonical,us-east1,2.209946000000001
GCP Compute Engine,Canonical,1BD9-418B-0317:Canonical,us-east1,2.2099460000000004
"GCP Neo4j, Inc. Neo4j AuraDB Professional","Neo4j, Inc.",9482-2ABF-9FFA:NeojInc,(not set),2
GCP Techlatest.net Metabase Data Visualization & BI Platform,Techlatest.net,F415-AB1A-0B14:Techlatestnet,europe-west4,1.8818129999999997
GCP Compute Engine,Canonical,39C0-FE5F-B504:Canonical,australia-southeast1,1.5113309999999998
GCP Compute Engine,Canonical,2BEE-88DC-F577:Canonical,us-east4,1.510856
GCP Compute Engine,Canonical,2BEE-88DC-F577:Canonical,europe-west2,1.4690504648475997
GCP Compute Engine,Canonical,5245-3320-9740:Canonical,europe-west2,1.414405
